CountryCode;RegionCode
NZL;Australia New Zealand and Oceania islands
AUS;Australia New Zealand and Oceania islands
CXR;Australia New Zealand and Oceania islands
COK;Australia New Zealand and Oceania islands
HMD;Australia New Zealand and Oceania islands
NFK;Australia New Zealand and Oceania islands
NIU;Australia New Zealand and Oceania islands
NRU;Australia New Zealand and Oceania islands
PCN;Australia New Zealand and Oceania islands
TKL;Australia New Zealand and Oceania islands
TUV;Australia New Zealand and Oceania islands
UMI;Australia New Zealand and Oceania islands
WLF;Australia New Zealand and Oceania islands
FJI;Australia New Zealand and Oceania islands
PNG;Australia New Zealand and Oceania islands
FSM;Australia New Zealand and Oceania islands
GUM;Australia New Zealand and Oceania islands
ASM;Australia New Zealand and Oceania islands
TLS;Australia New Zealand and Oceania islands
PYF;Australia New Zealand and Oceania islands
KIR;Australia New Zealand and Oceania islands
MNP;Australia New Zealand and Oceania islands
MHL;Australia New Zealand and Oceania islands
NCL;Australia New Zealand and Oceania islands
PLW;Australia New Zealand and Oceania islands
WSM;Australia New Zealand and Oceania islands
SLB;Australia New Zealand and Oceania islands
TON;Australia New Zealand and Oceania islands
VUT;Australia New Zealand and Oceania islands
BRA;Brazil
CAN;Canada
SPM;Canada
CHN;China
HKG;China
MAC;China
TWN;China
BGR;Europe
CYP;Europe
CZE;Europe
EST;Europe
HUN;Europe
LTU;Europe
LVA;Europe
POL;Europe
ROU;Europe
SVK;Europe
SVN;Europe
MLT;Europe
HRV;Europe
AUT;Europe
BEL;Europe
DEU;Europe
DNK;Europe
ESP;Europe
FIN;Europe
FRA;Europe
GBR;Europe
GRC;Europe
IRL;Europe
ITA;Europe
LUX;Europe
NLD;Europe
PRT;Europe
SWE;Europe
LIE;Europe
NOR;Europe
CHE;Europe
GRL;Europe
ISL;Europe
FRO;Europe
ALA;Europe
AND;Europe
GGY;Europe
GIB;Europe
IMN;Europe
JEY;Europe
MCO;Europe
SJM;Europe
SMR;Europe
VAT;Europe
BIH;Europe
ALB;Europe
MKD;Europe
MNE;Europe
SRB;Europe
IND;India
IDN;Indonesia
JPN;Japan and Korea
KOR;Japan and Korea
PRK;Japan and Korea
ATA;Latin America and the Caribbean
BMU;Latin America and the Caribbean
SGS;Latin America and the Caribbean
TCA;Latin America and the Caribbean
VGB;Latin America and the Caribbean
VIR;Latin America and the Caribbean
ABW;Latin America and the Caribbean
AIA;Latin America and the Caribbean
ARG;Latin America and the Caribbean
ATG;Latin America and the Caribbean
BES;Latin America and the Caribbean
BHS;Latin America and the Caribbean
BLM;Latin America and the Caribbean
BLZ;Latin America and the Caribbean
BOL;Latin America and the Caribbean
BRB;Latin America and the Caribbean
CHL;Latin America and the Caribbean
COL;Latin America and the Caribbean
CRI;Latin America and the Caribbean
CUB;Latin America and the Caribbean
CUW;Latin America and the Caribbean
CYM;Latin America and the Caribbean
DMA;Latin America and the Caribbean
DOM;Latin America and the Caribbean
ECU;Latin America and the Caribbean
FLK;Latin America and the Caribbean
GLP;Latin America and the Caribbean
GRD;Latin America and the Caribbean
GTM;Latin America and the Caribbean
GUF;Latin America and the Caribbean
GUY;Latin America and the Caribbean
HND;Latin America and the Caribbean
HTI;Latin America and the Caribbean
JAM;Latin America and the Caribbean
KNA;Latin America and the Caribbean
LCA;Latin America and the Caribbean
MAF;Latin America and the Caribbean
MSR;Latin America and the Caribbean
MTQ;Latin America and the Caribbean
NIC;Latin America and the Caribbean
PAN;Latin America and the Caribbean
PER;Latin America and the Caribbean
PRI;Latin America and the Caribbean
PRY;Latin America and the Caribbean
SLV;Latin America and the Caribbean
SUR;Latin America and the Caribbean
SXM;Latin America and the Caribbean
TTO;Latin America and the Caribbean
URY;Latin America and the Caribbean
VCT;Latin America and the Caribbean
VEN;Latin America and the Caribbean
MEX;Mexico
ARE;Middle East and North Africa
BHR;Middle East and North Africa
DZA;Middle East and North Africa
EGY;Middle East and North Africa
ESH;Middle East and North Africa
IRN;Middle East and North Africa
IRQ;Middle East and North Africa
ISR;Middle East and North Africa
JOR;Middle East and North Africa
KWT;Middle East and North Africa
LBN;Middle East and North Africa
LBY;Middle East and North Africa
MAR;Middle East and North Africa
OMN;Middle East and North Africa
PSE;Middle East and North Africa
QAT;Middle East and North Africa
SAU;Middle East and North Africa
SYR;Middle East and North Africa
TUN;Middle East and North Africa
YEM;Middle East and North Africa
MNG;Non-EU Eastern European and Transition Countries
ARM;Non-EU Eastern European and Transition Countries
AZE;Non-EU Eastern European and Transition Countries
BLR;Non-EU Eastern European and Transition Countries
GEO;Non-EU Eastern European and Transition Countries
KAZ;Non-EU Eastern European and Transition Countries
KGZ;Non-EU Eastern European and Transition Countries
MDA;Non-EU Eastern European and Transition Countries
RUS;Non-EU Eastern European and Transition Countries
TJK;Non-EU Eastern European and Transition Countries
TUR;Non-EU Eastern European and Transition Countries
TKM;Non-EU Eastern European and Transition Countries
UKR;Non-EU Eastern European and Transition Countries
UZB;Non-EU Eastern European and Transition Countries
ZAF;South Africa
AFG;South Asia
BGD;South Asia
BTN;South Asia
LKA;South Asia
MDV;South Asia
NPL;South Asia
PAK;South Asia
BRN;South East Asia
CCK;South East Asia
KHM;South East Asia
LAO;South East Asia
MMR;South East Asia
MYS;South East Asia
PHL;South East Asia
SGP;South East Asia
THA;South East Asia
VNM;South East Asia
DJI;Sub-Saharan Africa
IOT;Sub-Saharan Africa
BVT;Sub-Saharan Africa
ATF;Sub-Saharan Africa
AGO;Sub-Saharan Africa
BEN;Sub-Saharan Africa
BWA;Sub-Saharan Africa
BFA;Sub-Saharan Africa
BDI;Sub-Saharan Africa
CMR;Sub-Saharan Africa
CPV;Sub-Saharan Africa
CAF;Sub-Saharan Africa
TCD;Sub-Saharan Africa
COM;Sub-Saharan Africa
COG;Sub-Saharan Africa
COD;Sub-Saharan Africa
CIV;Sub-Saharan Africa
GNQ;Sub-Saharan Africa
ERI;Sub-Saharan Africa
ETH;Sub-Saharan Africa
GAB;Sub-Saharan Africa
GMB;Sub-Saharan Africa
GHA;Sub-Saharan Africa
GIN;Sub-Saharan Africa
GNB;Sub-Saharan Africa
KEN;Sub-Saharan Africa
LSO;Sub-Saharan Africa
LBR;Sub-Saharan Africa
MDG;Sub-Saharan Africa
MWI;Sub-Saharan Africa
MLI;Sub-Saharan Africa
MRT;Sub-Saharan Africa
MUS;Sub-Saharan Africa
MYT;Sub-Saharan Africa
MOZ;Sub-Saharan Africa
NAM;Sub-Saharan Africa
NER;Sub-Saharan Africa
NGA;Sub-Saharan Africa
REU;Sub-Saharan Africa
RWA;Sub-Saharan Africa
STP;Sub-Saharan Africa
SEN;Sub-Saharan Africa
SYC;Sub-Saharan Africa
SHN;Sub-Saharan Africa
SLE;Sub-Saharan Africa
SOM;Sub-Saharan Africa
SSD;Sub-Saharan Africa
SDN;Sub-Saharan Africa
SWZ;Sub-Saharan Africa
TZA;Sub-Saharan Africa
TGO;Sub-Saharan Africa
UGA;Sub-Saharan Africa
ZMB;Sub-Saharan Africa
ZWE;Sub-Saharan Africa
USA;United States
