countryname;country;region
Aruba;ABW;LAM
Afghanistan;AFG;OAS
Angola;AGO;SSA
Anguilla;AIA;LAM
Aland Islands;ALA;EUN
Albania;ALB;NEU
Andorra;AND;NEU
United Arab Emirates;ARE;MEA
Argentina;ARG;ARG
Armenia;ARM;REF
American Samoa;ASM;OAS
Antarctica;ATA;LAM
French Southern Territories;ATF;OAS
Antigua and Barbuda;ATG;LAM
Australia;AUS;AUS
Austria;AUT;EUS
Azerbaijan;AZE;REF
Burundi;BDI;SSA
Belgium;BEL;EUS
Benin;BEN;SSA
Bonaire, Sint Eustatius and Saba;BES;LAM
Burkina Faso;BFA;SSA
Bangladesh;BGD;OAS
Bulgaria;BGR;EUC
Bahrain;BHR;MEA
Bahamas;BHS;LAM
Bosnia and Herzegovina;BIH;NEU
Saint Barthelemy;BLM;LAM
Belarus;BLR;REF
Belize;BLZ;LAM
Bermuda;BMU;LAM
Bolivia, Plurinational State of;BOL;LAM
Brazil;BRA;BRA
Barbados;BRB;LAM
Brunei Darussalam;BRN;OAS
Bhutan;BTN;OAS
Bouvet Island;BVT;LAM
Botswana;BWA;SSA
Central African Republic;CAF;SSA
Canada;CAN;CAN
Cocos (Keeling) Islands;CCK;OAS
China;CHN;CHA
Switzerland;CHE;NEU
Chile;CHL;LAM
Cote d Ivoire;CIV;SSA
Cameroon;CMR;SSA
Congo, the Democratic Republic of the;COD;SSA
Congo;COG;SSA
Cook Islands;COK;OAS
Colombia;COL;LAM
Comoros;COM;SSA
Cape Verde;CPV;SSA
Costa Rica;CRI;LAM
Cuba;CUB;LAM
Curacao;CUW;LAM
Christmas Island;CXR;OAS
Cayman Islands;CYM;LAM
Cyprus;CYP;EUS
Czech Republic;CZE;EUC
Germany;DEU;DEU
Djibouti;DJI;SSA
Dominica;DMA;LAM
Denmark;DNK;EUN
Dominican Republic;DOM;LAM
Algeria;DZA;MEA
Ecuador;ECU;LAM
Egypt;EGY;MEA
Eritrea;ERI;SSA
Western Sahara;ESH;MEA
Spain;ESP;ESP
Estonia;EST;EUC
Ethiopia;ETH;ETH
Finland;FIN;EUN
Fiji;FJI;OAS
Falkland Islands (Malvinas);FLK;LAM
France;FRA;FRA
Faroe Islands;FRO;EUN
Micronesia, Federated States of;FSM;OAS
Gabon;GAB;SSA
United Kingdom;GBR;EUN
Georgia;GEO;REF
Guernsey;GGY;EUN
Ghana;GHA;SSA
Gibraltar;GIB;EUN
Guinea;GIN;SSA
Guadeloupe;GLP;LAM
Gambia;GMB;SSA
Guinea-Bissau;GNB;SSA
Equatorial Guinea;GNQ;SSA
Greece;GRC;EUS
Grenada;GRD;LAM
Greenland;GRL;NEU
Guatemala;GTM;LAM
French Guiana;GUF;LAM
Guam;GUM;OAS
Guyana;GUY;LAM
Hong Kong;HKG;CHA
Heard Island and McDonald Islands;HMD;AUS
Honduras;HND;LAM
Croatia;HRV;EUC
Haiti;HTI;LAM
Hungary;HUN;EUC
Indonesia;IDN;IDN
Isle of Man;IMN;EUN
India;IND;IND
British Indian Ocean Territory;IOT;OAS
Ireland;IRL;EUN
Iran, Islamic Republic of;IRN;IRN
Iraq;IRQ;MEA
Iceland;ISL;NEU
Israel;ISR;MEA
Italy;ITA;ITA
Jamaica;JAM;LAM
Jersey;JEY;EUN
Jordan;JOR;MEA
Japan;JPN;JPN
Kazakhstan;KAZ;KAZ
Kenya;KEN;SSA
Kyrgyzstan;KGZ;REF
Cambodia;KHM;OAS
Kiribati;KIR;OAS
Saint Kitts and Nevis;KNA;LAM
Korea, Republic of;KOR;OAS
Kuwait;KWT;MEA
Lao People's Democratic Republic;LAO;OAS
Lebanon;LBN;MEA
Liberia;LBR;SSA
Libya;LBY;MEA
Saint Lucia;LCA;LAM
Liechtenstein;LIE;NEU
Sri Lanka;LKA;OAS
Lesotho;LSO;SSA
Lithuania;LTU;EUC
Luxembourg;LUX;EUS
Latvia;LVA;EUC
Macao;MAC;CHA
Saint Martin (French part);MAF;LAM
Morocco;MAR;MEA
Monaco;MCO;NEU
Moldova, Republic of;MDA;REF
Madagascar;MDG;SSA
Maldives;MDV;OAS
Mexico;MEX;MEX
Marshall Islands;MHL;OAS
Macedonia, the former Yugoslav Republic of;MKD;NEU
Mali;MLI;SSA
Malta;MLT;EUS
Myanmar;MMR;MMR
Montenegro;MNE;NEU
Mongolia;MNG;OAS
Northern Mariana Islands;MNP;OAS
Mozambique;MOZ;SSA
Mauritania;MRT;SSA
Montserrat;MSR;LAM
Martinique;MTQ;LAM
Mauritius;MUS;SSA
Malawi;MWI;SSA
Malaysia;MYS;OAS
Mayotte;MYT;SSA
Namibia;NAM;SSA
New Caledonia;NCL;OAS
Niger;NER;NER
Norfolk Island;NFK;OAS
Nigeria;NGA;NGA
Nicaragua;NIC;LAM
Niue;NIU;OAS
Netherlands;NLD;EUS
Norway;NOR;NEU
Nepal;NPL;OAS
Nauru;NRU;OAS
New Zealand;NZL;AUS
Oman;OMN;MEA
Pakistan;PAK;PAK
