CountryCode;RegionCode
BRA;Brazil
CAN;Canada
AIA;Central America
ABW;Central America
BHS;Central America
BRB;Central America
BLZ;Central America
BMU;Central America
CYM;Central America
CRI;Central America
DMA;Central America
DOM;Central America
SLV;Central America
GRD;Central America
GLP;Central America
GTM;Central America
HTI;Central America
HND;Central America
JAM;Central America
MTQ;Central America
MSR;Central America
NIC;Central America
PAN;Central America
PRI;Central America
KNA;Central America
LCA;Central America
VCT;Central America
TTO;Central America
TCA;Central America
VGB;Central America
VIR;Central America
KAZ;Central Asia
KGZ;Central Asia
TJK;Central Asia
TKM;Central Asia
UZB;Central Asia
ALB;Central Europe
BIH;Central Europe
BGR;Central Europe
HRV;Central Europe
CYP;Central Europe
CZE;Central Europe
EST;Central Europe
HUN;Central Europe
LVA;Central Europe
LTU;Central Europe
MKD;Central Europe
POL;Central Europe
ROU;Central Europe
SRB;Central Europe
MNE;Central Europe
SVK;Central Europe
SVN;Central Europe
CHN;China Region
HKG;China Region
MAC;China Region
MNG;China Region
TWN;China Region
BDI;Eastern Africa
COM;Eastern Africa
DJI;Eastern Africa
ERI;Eastern Africa
ETH;Eastern Africa
KEN;Eastern Africa
MDG;Eastern Africa
MUS;Eastern Africa
REU;Eastern Africa
RWA;Eastern Africa
SYC;Eastern Africa
SOM;Eastern Africa
SDN;Eastern Africa
UGA;Eastern Africa
IND;India
TLS;Indonesia Region
IDN;Indonesia Region
PNG;Indonesia Region
JPN;Japan
KOR;Korea Region
PRK;Korea Region
MEX;Mexico
BHR;Middle East
IRN;Middle East
IRQ;Middle East
ISR;Middle East
JOR;Middle East
KWT;Middle East
LBN;Middle East
OMN;Middle East
PSE;Middle East
QAT;Middle East
SAU;Middle East
SYR;Middle East
ARE;Middle East
YEM;Middle East
DZA;Northern Africa
EGY;Northern Africa
LBY;Northern Africa
MAR;Northern Africa
TUN;Northern Africa
ESH;Northern Africa
ASM;Oceania
AUS;Oceania
COK;Oceania
FJI;Oceania
PYF;Oceania
KIR;Oceania
MHL;Oceania
FSM;Oceania
NRU;Oceania
NCL;Oceania
NZL;Oceania
NIU;Oceania
MNP;Oceania
PLW;Oceania
PCN;Oceania
WSM;Oceania
SLB;Oceania
TKL;Oceania
TON;Oceania
TUV;Oceania
VUT;Oceania
WLF;Oceania
ARG;Rest of South America
BOL;Rest of South America
CHL;Rest of South America
COL;Rest of South America
ECU;Rest of South America
GUF;Rest of South America
GUY;Rest of South America
PRY;Rest of South America
PER;Rest of South America
SUR;Rest of South America
URY;Rest of South America
VEN;Rest of South America
AFG;Rest of South Asia
BGD;Rest of South Asia
BTN;Rest of South Asia
MDV;Rest of South Asia
NPL;Rest of South Asia
PAK;Rest of South Asia
LKA;Rest of South Asia
AGO;Rest of Southern Africa
BWA;Rest of Southern Africa
LSO;Rest of Southern Africa
MWI;Rest of Southern Africa
MOZ;Rest of Southern Africa
NAM;Rest of Southern Africa
SWZ;Rest of Southern Africa
TZA;Rest of Southern Africa
ZMB;Rest of Southern Africa
ZWE;Rest of Southern Africa
ARM;Russia Region
AZE;Russia Region
GEO;Russia Region
RUS;Russia Region
ZAF;South Africa
BRN;Southeastern Asia
KHM;Southeastern Asia
LAO;Southeastern Asia
MYS;Southeastern Asia
MMR;Southeastern Asia
PHL;Southeastern Asia
SGP;Southeastern Asia
THA;Southeastern Asia
VNM;Southeastern Asia
TUR;Turkey
BLR;Ukraine Region
MDA;Ukraine Region
UKR;Ukraine Region
SPM;United States
USA;United States
BEN;Western Africa
BFA;Western Africa
CMR;Western Africa
CPV;Western Africa
CAF;Western Africa
TCD;Western Africa
COD;Western Africa
CIV;Western Africa
GNQ;Western Africa
GAB;Western Africa
GMB;Western Africa
GHA;Western Africa
GIN;Western Africa
GNB;Western Africa
LBR;Western Africa
MLI;Western Africa
MRT;Western Africa
NER;Western Africa
NGA;Western Africa
STP;Western Africa
SEN;Western Africa
SLE;Western Africa
SHN;Western Africa
TGO;Western Africa
AND;Western Europe
AUT;Western Europe
BEL;Western Europe
DNK;Western Europe
FRO;Western Europe
FIN;Western Europe
FRA;Western Europe
DEU;Western Europe
GIB;Western Europe
GRC;Western Europe
ISL;Western Europe
IRL;Western Europe
ITA;Western Europe
LIE;Western Europe
LUX;Western Europe
MLT;Western Europe
MCO;Western Europe
NLD;Western Europe
NOR;Western Europe
PRT;Western Europe
SMR;Western Europe
ESP;Western Europe
SWE;Western Europe
CHE;Western Europe
GBR;Western Europe
VAT;Western Europe
ALA;Western Europe
ATA;Rest of South America
ATF;Western Europe
ATG;Central America
BES;Western Europe
BLM;Western Europe
BVT;Western Europe
CCK;Oceania
COG;Western Africa
CUB;Central America
CUW;Western Europe
CXR;Oceania
FLK;Western Europe
GGY;Western Europe
GRL;Western Europe
GUM;United States
HMD;Oceania
IMN;Western Europe
IOT;Western Europe
JEY;Western Europe
MAF;Western Europe
MYT;Western Europe
NFK;Oceania
SGS;Western Europe
SJM;Western Europe
SSD;Eastern Africa
SXM;Western Europe
UMI;United States
