X;CountryCode;RepCountry
Aruba;ABW;USA
Afghanistan;AFG;JPN
Angola;AGO;USA
Anguilla;AIA;USA
Aland Islands;ALA;ALA
Albania;ALB;USA
Andorra;AND;USA
United Arab Emirates;ARE;DEU
Argentina;ARG;USA
Armenia;ARM;DEU
American Samoa;ASM;JPN
Antarctica;ATA;USA
French Southern Territories;ATF;JPN
Antigua and Barbuda;ATG;USA
Australia;AUS;USA
Austria;AUT;AUT
Azerbaijan;AZE;DEU
Burundi;BDI;USA
Belgium;BEL;BEL
Benin;BEN;USA
Bonaire, Sint Eustatius and Saba;BES;USA
Burkina Faso;BFA;USA
Bangladesh;BGD;JPN
Bulgaria;BGR;BGR
Bahrain;BHR;DEU
Bahamas;BHS;USA
Bosnia and Herzegovina;BIH;USA
Saint Barthelemy;BLM;USA
Belarus;BLR;USA
Belize;BLZ;USA
Bermuda;BMU;USA
Bolivia, Plurinational State of;BOL;USA
Brazil;BRA;USA
Barbados;BRB;USA
Brunei Darussalam;BRN;JPN
Bhutan;BTN;JPN
Bouvet Island;BVT;USA
Botswana;BWA;USA
Central African Republic;CAF;USA
Canada;CAN;USA
Cocos (Keeling) Islands;CCK;JPN
Switzerland;CHE;USA
Chile;CHL;USA
China;CHN;JPN
Cote d Ivoire;CIV;USA
Cameroon;CMR;USA
Congo, the Democratic Republic of the;COD;USA
Congo;COG;USA
Cook Islands;COK;JPN
Colombia;COL;USA
Comoros;COM;USA
Cape Verde;CPV;USA
Costa Rica;CRI;USA
Cuba;CUB;USA
Curacao;CUW;USA
Christmas Island;CXR;JPN
Cayman Islands;CYM;USA
Cyprus;CYP;CYP
Czech Republic;CZE;CZE
Germany;DEU;DEU
Djibouti;DJI;USA
Dominica;DMA;USA
Denmark;DNK;DNK
Dominican Republic;DOM;USA
Algeria;DZA;DEU
Ecuador;ECU;USA
Egypt;EGY;DEU
Eritrea;ERI;USA
Western Sahara;ESH;DEU
Spain;ESP;ESP
Estonia;EST;EST
Ethiopia;ETH;USA
Finland;FIN;FIN
Fiji;FJI;JPN
Falkland Islands (Malvinas);FLK;USA
France;FRA;FRA
Faroe Islands;FRO;FRO
Micronesia, Federated States of;FSM;JPN
Gabon;GAB;USA
United Kingdom;GBR;GBR
Georgia;GEO;DEU
Guernsey;GGY;USA
Ghana;GHA;USA
Gibraltar;GIB;GIB
Guinea;GIN;USA
Guadeloupe;GLP;USA
Gambia;GMB;USA
Guinea-Bissau;GNB;USA
Equatorial Guinea;GNQ;USA
Greece;GRC;GRC
Grenada;GRD;USA
Greenland;GRL;GRL
Guatemala;GTM;USA
