CountryCode;RegionCode
CHN;China
HKG;China
ALB;Eastern Europe
BIH;Eastern Europe
BGR;Eastern Europe
EST;Eastern Europe
CZE;Eastern Europe
HRV;Eastern Europe
HUN;Eastern Europe
LVA;Eastern Europe
LTU;Eastern Europe
SVK;Eastern Europe
MKD;Eastern Europe
MNE;Eastern Europe
POL;Eastern Europe
ROU;Eastern Europe
SVN;Eastern Europe
SRB;Eastern Europe
AZE;Former Soviet Union
ARM;Former Soviet Union
GEO;Former Soviet Union
KGZ;Former Soviet Union
KAZ;Former Soviet Union
BLR;Former Soviet Union
MDA;Former Soviet Union
RUS;Former Soviet Union
TJK;Former Soviet Union
TKM;Former Soviet Union
UKR;Former Soviet Union
UZB;Former Soviet Union
ATG;Latin America and the Caribbean
ARG;Latin America and the Caribbean
BRB;Latin America and the Caribbean
BMU;Latin America and the Caribbean
BHS;Latin America and the Caribbean
BLZ;Latin America and the Caribbean
BOL;Latin America and the Caribbean
BRA;Latin America and the Caribbean
CHL;Latin America and the Caribbean
CYM;Latin America and the Caribbean
COL;Latin America and the Caribbean
CRI;Latin America and the Caribbean
CUB;Latin America and the Caribbean
DMA;Latin America and the Caribbean
DOM;Latin America and the Caribbean
ECU;Latin America and the Caribbean
SLV;Latin America and the Caribbean
GUF;Latin America and the Caribbean
FLK;Latin America and the Caribbean
GRD;Latin America and the Caribbean
GTM;Latin America and the Caribbean
GUY;Latin America and the Caribbean
HTI;Latin America and the Caribbean
HND;Latin America and the Caribbean
JAM;Latin America and the Caribbean
MTQ;Latin America and the Caribbean
MSR;Latin America and the Caribbean
MEX;Latin America and the Caribbean
ABW;Latin America and the Caribbean
AIA;Latin America and the Caribbean
SUR;Latin America and the Caribbean
NIC;Latin America and the Caribbean
PRY;Latin America and the Caribbean
PER;Latin America and the Caribbean
PAN;Latin America and the Caribbean
KNA;Latin America and the Caribbean
LCA;Latin America and the Caribbean
TTO;Latin America and the Caribbean
URY;Latin America and the Caribbean
VCT;Latin America and the Caribbean
VEN;Latin America and the Caribbean
GLP;Latin America and the Caribbean
TCA;Latin America and the Caribbean
DZA;Middle East and North Africa
BHR;Middle East and North Africa
EGY;Middle East and North Africa
IRN;Middle East and North Africa
ISR;Middle East and North Africa
IRQ;Middle East and North Africa
JOR;Middle East and North Africa
KWT;Middle East and North Africa
LBN;Middle East and North Africa
LBY;Middle East and North Africa
MAR;Middle East and North Africa
OMN;Middle East and North Africa
PSE;Middle East and North Africa
QAT;Middle East and North Africa
SAU;Middle East and North Africa
SDN;Middle East and North Africa
SSD;Middle East and North Africa
SYR;Middle East and North Africa
TUN;Middle East and North Africa
YEM;Middle East and North Africa
ARE;Middle East and North Africa
CAN;North America
GUM;North America
UMI;North America
PRI;North America
USA;North America
VIR;North America
ASM;Other Pacific Asia
MMR;Other Pacific Asia
