region,country
West Africa,Benin
West Africa,Guinea-Bissau
West Africa,Sierra Leone
West Africa,Togo
West Africa,Burkina Faso
West Africa,Liberia
West Africa,Cabo Verde
West Africa,Mali
West Africa,Cote d Ivoire
West Africa,Mauritania
West Africa,Gambia
West Africa,Niger
West Africa,Ghana
West Africa,Nigeria
West Africa,Guinea
West Africa,Sao Tome and Principe
West Africa,Senegal
Middle East,Bahrain
Middle East,Islamic Republic of Iran
Middle East,Iraq
Middle East,Jordan
Middle East,Kuwait
Middle East,Lebanon
Middle East,Oman
Middle East,Qatar
Middle East,Israel
Middle East,Saudi Arabia
Middle East,Syrian Arab Republic
Middle East,United Arab Emirates
Middle East,Yemen
Eurasia,Albania
Eurasia,Bulgaria
Eurasia,Macedonia
Eurasia,Russian Federation
Eurasia,Armenia
Eurasia,Croatia
Eurasia,Republic of Moldova
Eurasia,Serbia
Eurasia,Azerbaijan
Eurasia,Georgia
Eurasia,Montenegro
Eurasia,Tajikistan
Eurasia,Belarus
Eurasia,Kazakhstan
Eurasia,Romania
Eurasia,Turkmenistan
Eurasia,Bosnia and Herzegovina
Eurasia,Kosovo
Eurasia,Ukraine
Eurasia,Kyrgyz Republic
Eurasia,Latvia
Eurasia,Lithuania
Eurasia,Gibraltar
Eurasia,Malta
OECD Europe,Austria
OECD Europe,Germany
OECD Europe,Poland
OECD Europe,United Kingdom
OECD Europe,Belgium
OECD Europe,Czech Republic
OECD Europe,Denmark
OECD Europe,Estonia
OECD Europe,Finland
OECD Europe,France
OECD Europe,Greece
OECD Europe,Hungary
OECD Europe,Iceland
OECD Europe,Ireland
OECD Europe,Italy
OECD Europe,Luxembourg
OECD Europe,Netherlands
OECD Europe,Norway
OECD Europe,Portugal
OECD Europe,Slovak Republic
OECD Europe,Slovenia
OECD Europe,Spain
OECD Europe,Sweden
OECD Europe,Switzerland
OECD Europe,Turkey
OECD Americas,Canada
OECD Americas,Chile
OECD Americas,Mexico
OECD Americas,United States
Non-OECD Asia,Bangladesh
Non-OECD Asia,Indonesia
Non-OECD Asia,Nepal
Non-OECD Asia,Brunei Darussalam
Non-OECD Asia,Cambodia
Non-OECD Asia,China
Non-OECD Asia,Chinese Taipei
Non-OECD Asia,India
Non-OECD Asia,North Korea
Non-OECD Asia,Malaysia
Non-OECD Asia,Mongolia
Non-OECD Asia,Myanmar
Non-OECD Asia,Pakistan
Non-OECD Asia,Philippines
Non-OECD Asia,Singapore
Non-OECD Asia,Sri Lanka
Non-OECD Asia,Thailand
Non-OECD Asia,Vietnam
Non-OECD Asia,Afghanistan
Non-OECD Asia,Timor-Leste
Non-OECD Asia,Bhutan
Non-OECD Asia,Cook Islands
Non-OECD Asia,Fiji
Non-OECD Asia,French Polynesia
Non-OECD Asia,Kiribati
Non-OECD Asia,Lao PDR
Non-OECD Asia,Maldives
Non-OECD Asia,New Caledonia
Non-OECD Asia,Palau
Non-OECD Asia,Papua New Guinea
