Step4,Step3,Step2,Step1
agriculture,crops,cereals,maiz
agriculture,crops,cereals,rice_pro
agriculture,crops,cereals,tece
agriculture,crops,cereals,trce
agriculture,crops,oilcrops,groundnut
agriculture,crops,oilcrops,oilpalm
agriculture,crops,oilcrops,rapeseed
agriculture,crops,oilcrops,soybean
agriculture,crops,oilcrops,sunflower
agriculture,crops,other crop products,cassav_sp
agriculture,crops,other crop products,cottn_pro
agriculture,crops,other crop products,foddr
agriculture,crops,other crop products,potato
agriculture,crops,other crop products,puls_pro
agriculture,crops,,others
agriculture,crops,sugarcrops,sugr_beet
agriculture,crops,sugarcrops,sugr_cane
agriculture,,livestock,livst_chick
agriculture,,livestock,livst_egg
agriculture,,livestock,livst_milk
agriculture,,livestock,livst_pig
agriculture,,livestock,livst_rum
,,,alcohol
,,,buildings
,,,chemicals
,,,fertilizers
,,,Final Demand_Acquisitions less disposals of valuables P_53
,,,Final Demand_Changes in inventories P_52
,,,Final Demand_Government final consumption P_3g
,,,Final Demand_Gross fixed capital formation P_51
,,,Final Demand_Household final consumption P_3h
,,,Final Demand_Non-profit institutions serving households P_3n
,,,fishery
,,,food processing
,,,forestry
,,,fuel
,,,manufacturing
,,,milling
,,,oils
,,,pesticides
,,,primary non-agricultural products
,,,public infrastructure
,,,public services
,,,remaining
,,,research
,,,services
,,,sugar
,,,transport
,,,water
,,,wood processing
