WEO;REMIND;Unit_WEO;Unit_REMIND;Conversion;Comment
Capacity-Battery storage total-Installed total power capacity;Cap|Electricity|Storage|Battery;GW;GW;1;
Capacity-Bioenergy and waste-Installed total power capacity;Cap|Electricity|Biomass;GW;GW;1;Use lines 3 and 4 to calculate Cap|Electricity|Biomass|w/o CCS
Capacity-Bioenergy with CCUS-Installed total power capacity;Cap|Electricity|Biomass|w/ CC;GW;GW;1;
Capacity-Coal unabated-Installed total power capacity;Cap|Electricity|Coal|w/o CC;GW;GW;1;Use lines 5 and 6 to calculate total Cap|Electricity|Coal
Capacity-Coal with CCUS-Installed total power capacity;Cap|Electricity|Coal|w/ CC;GW;GW;1;
Capacity-Concentrating solar power-Installed total power capacity;Cap|Electricity|Solar|CSP;GW;GW;1;Use lines 7 and 18 to calculate total Cap|Electricity|Solar
Capacity-Fossil fuels unabated-Installed total power capacity;Cap|Electricity|Fossil|w/o CC;GW;GW;1;Use lines 8 and 9 for total Fossil
Capacity-Fossil fuels with CCUS-Installed total power capacity;Cap|Electricity|Fossil|w/ CC;GW;GW;1;
Capacity-Gas with CCUS-Installed total power capacity;Cap|Electricity|Gas|w/ CC;GW;GW;1;Use lines 10 and 14 for total gas
Capacity-Geothermal-Installed total power capacity;Cap|Electricity|Geothermal;GW;GW;1;
Capacity-Hydrogen based fuels-Installed total power capacity;Cap|Electricity|Hydrogen;GW;GW;1;
Capacity-Hydro-Installed total power capacity;Cap|Electricity|Hydro;GW;GW;1;
Capacity-Natural gas unabated-Installed total power capacity;Cap|Electricity|Gas|w/o CC;GW;GW;1;
Capacity-Nuclear-Installed total power capacity;Cap|Electricity|Nuclear;GW;GW;1;
Capacity-Oil products-Installed total power capacity;Cap|Electricity|Oil;GW;GW;1;
Capacity-Renewables-Installed total power capacity;;;;;
Capacity-Solar PV-Installed total power capacity;Cap|Electricity|Solar|PV;GW;GW;1;
Capacity-Tide and wave-Installed total power capacity;;;;;
Capacity-Total-Installed total power capacity;Cap|Electricity;GW;GW;1;
Capacity-Wind-Installed total power capacity;Cap|Electricity|Wind;GW;GW;1;
CO2 atmospheric removal-Total-Direct air capture;Emi|CO2|CDR|DACCS;Mt CO2;Mt CO2/yr;-1;
CO2 atmospheric removal-Total-Direct air capture;Emi|CO2|CDR|BECCS;Mt CO2;Mt CO2/yr;1;
CO2 combustion and processes emissions-Total-Cement;;;;;
CO2 combustion and processes emissions-Total-Chemical and petrochemical;;;;;
CO2 combustion and processes emissions-Total-Industry;;;;;
CO2 combustion and processes emissions-Total-Iron and steel;;;;;
CO2 combustion and processes emissions-Total-Other energy sector;;;;;
CO2 combustion and processes emissions-Total-Total final consumption;;;;;
CO2 combustion, processes, removal-Total-Total all sectors;;;;;
CO2 combustion-Bioenergy and waste-Power sector inputs;;;;;
CO2 combustion-Bioenergy and waste-Total energy supply;;;;;
CO2 combustion-Bioenergy and waste-Total final consumption;;;;;
CO2 combustion-Coal-Power sector inputs;;;;;
CO2 combustion-Coal-Total energy supply;;;;;
CO2 combustion-Coal-Total final consumption;;;;;
CO2 combustion-Natural gas-Power sector inputs;;;;;
CO2 combustion-Natural gas-Total energy supply;;;;;
CO2 combustion-Natural gas-Total final consumption;;;;;
CO2 combustion-Oil products-Power sector inputs;;;;;
CO2 combustion-Oil products-Total energy supply;;;;;
CO2 combustion-Oil products-Total final consumption;;;;;
CO2 combustion-Total-Buildings;Emi|CO2|Energy|Demand|Buildings;Mt CO2;Mt CO2/yr;1;
CO2 combustion-Total-Power sector inputs;Emi|CO2|Energy|Supply|Electricity w/ couple prod;Mt CO2;Mt CO2/yr;1;
CO2 combustion-Total-Residential;;;;;
CO2 combustion-Total-Road;Emi|CO2|Transport|Road|Demand;Mt CO2;Mt CO2/yr;1;I guess this is the right variable, but it could also be the tailpipe variant…
CO2 combustion-Total-Road heavy-duty trucks;;;;;
CO2 combustion-Total-Road passenger light duty vehicle;Emi|CO2|Transport|Pass|Road|LDV|Demand;Mt CO2;Mt CO2/yr;1;I guess this is the right variable, but it could also be the tailpipe variant…
CO2 combustion-Total-Services;;;;;
CO2 combustion-Total-Total aviation (domestic and bunkers);;;;;
